Consultas,"12/08/18-8/09/18, Clics","15/07/18-11/08/18, Clics","12/08/18-8/09/18, Impresiones","15/07/18-11/08/18, Impresiones","12/08/18-8/09/18, CTR","15/07/18-11/08/18, CTR","12/08/18-8/09/18, Posición","15/07/18-11/08/18, Posición"
moeda peruana,39,30,1547,1671,"2,52 %","1,8 %","6,0","6,0"
descripción de la plaza de armas,39,18,195,71,20 %,"25,35 %","1,1","1,0"
museo historico regional cusco,39,55,346,430,"11,27 %","12,79 %","1,8","1,2"
tour cusco machu picchu,39,56,270,257,"14,44 %","21,79 %","3,3","2,9"
la selva presenta dos climas diferentes,39,36,167,157,"23,35 %","22,93 %","1,3","1,3"
cultura do peru,38,57,1638,1141,"2,32 %",5 %,"8,9","7,4"
corpus christi cusco,38,51,449,435,"8,46 %","11,72 %","3,2","2,8"
museo de arte contemporaneo cusco,38,62,287,357,"13,24 %","17,37 %","2,0","1,9"
valle sagrado de los incas,38,118,3399,6613,"1,12 %","1,78 %","6,1","6,2"
fiestas religiosas de la sierra peruana,38,37,220,238,"17,27 %","15,55 %","2,4","2,0"
pukapukara,37,49,458,556,"8,08 %","8,81 %","1,7","1,5"
festividades de la sierra peruana,37,47,148,144,25 %,"32,64 %","1,4","1,0"
museos cusco,37,45,164,174,"22,56 %","25,86 %","1,5","1,1"
ciudad de machu picchu,37,42,523,609,"7,07 %","6,9 %","1,3","1,2"
ollantaytambo,36,85,4811,15145,"0,75 %","0,56 %",11,"9,7"
valle sur cusco,36,90,419,588,"8,59 %","15,31 %","3,8","2,4"
sacsayhuaman ticket,36,35,230,167,"15,65 %","20,96 %","3,2","3,0"
descripcion del parque de las leyendas,35,0,97,0,"36,08 %",0 %,"1,7","0,00"
historia de moray,35,32,120,127,"29,17 %","25,2 %","1,0","1,0"
pisac peru,35,44,1067,1441,"3,28 %","3,05 %","6,2","6,1"
boleto turistico del cusco,35,34,130,146,"26,92 %","23,29 %","1,6","1,5"
passeios no peru,34,37,146,161,"23,29 %","22,98 %","2,0","2,1"
tambomachay cusco,34,29,488,327,"6,97 %","8,87 %","2,8","2,1"
festa de san juan,34,7,74,16,"45,95 %","43,75 %","2,8","3,0"
lineas de nazca resumen,34,46,666,509,"5,11 %","9,04 %","5,3","4,3"
que son los impuestos en el peru,34,16,96,47,"35,42 %","34,04 %","1,1","1,0"
tour en cusco,34,76,478,568,"7,11 %","13,38 %","4,7","2,7"
museo de arte precolombino cusco,34,33,316,322,"10,76 %","10,25 %","2,0","1,6"
catedral de lima,33,47,4468,4340,"0,74 %","1,08 %","5,0","4,5"
boleto turistico general cusco,33,26,80,63,"41,25 %","41,27 %","1,7","1,3"
cuscoperu,33,74,115,181,"28,7 %","40,88 %","1,6","1,5"
valle sagrado,32,136,2905,4262,"1,1 %","3,19 %","6,8","5,1"
cronograma de las fiestas del cusco 2018,32,42,91,139,"35,16 %","30,22 %","1,0","1,0"
coricancha entrada,32,26,125,86,"25,6 %","30,23 %","1,3","1,1"
tour montaña 7 colores,32,26,495,467,"6,46 %","5,57 %","5,0","7,1"
selva clima,32,29,839,383,"3,81 %","7,57 %","9,2","7,9"
tours a machu picchu,32,85,371,656,"8,63 %","12,96 %","4,1","2,8"
tours a cusco,31,57,343,459,"9,04 %","12,42 %","2,3","1,6"
btc cusco,31,55,70,98,"44,29 %","56,12 %","1,4","1,1"
tipos de impuestos en el peru 2018,31,9,97,23,"31,96 %","39,13 %","1,4","1,0"
lugares turisticos de machu picchu,31,17,242,180,"12,81 %","9,44 %","2,1","2,1"
guia turistica de cusco,30,61,113,160,"26,55 %","38,12 %","1,2","1,0"
historia del inti raymi,30,65,216,272,"13,89 %","23,9 %","2,1","1,5"
moray historia,30,26,99,82,"30,3 %","31,71 %","1,1","1,0"
tamaño de la ciudadela de machu picchu,30,9,102,55,"29,41 %","16,36 %","1,0","1,3"
mal de altura peru,30,36,261,290,"11,49 %","12,41 %","4,3","4,4"
boletos turisticos cusco,30,54,105,129,"28,57 %","41,86 %","1,8","1,2"
qenko cusco,30,18,308,259,"9,74 %","6,95 %","1,7","1,6"
parque de las leyendas horario,30,142,1172,2837,"2,56 %","5,01 %","6,9","5,6"
porque agosto es el mes de los vientos,29,65,96,215,"30,21 %","30,23 %","1,0","1,0"
tours cuzco,29,53,239,315,"12,13 %","16,83 %","2,7","1,8"
machu picchu citadel,29,33,154,139,"18,83 %","23,74 %","1,1","1,0"
machu picchu informacion turistica,29,34,124,116,"23,39 %","29,31 %","1,0","1,0"
entrada a machu picchu,28,178,916,2369,"3,06 %","7,51 %","7,1","4,5"
tour machupicchu 1 dia,28,47,227,186,"12,33 %","25,27 %","2,2","1,4"
quenqo,28,30,324,408,"8,64 %","7,35 %","1,7","1,5"
puca pucara,28,52,1306,1668,"2,14 %","3,12 %","3,5","2,9"
entrada a sacsayhuaman,28,88,88,164,"31,82 %","53,66 %","1,5","1,0"
qoricancha cusco,27,41,304,400,"8,88 %","10,25 %","1,7","1,6"
breve descripción de machu picchu,27,25,109,105,"24,77 %","23,81 %","2,0","1,6"
templo del sol cusco,27,29,409,374,"6,6 %","7,75 %","1,8","1,4"
que hacer en machu picchu,27,68,276,320,"9,78 %","21,25 %","3,1","2,4"
señor de los temblores,27,16,436,409,"6,19 %","3,91 %","3,2","2,7"
museo inka,27,62,732,902,"3,69 %","6,87 %","2,6","1,8"
como es el clima de la selva,27,18,546,331,"4,95 %","5,44 %","4,5","3,9"
cusco peru lugares turisticos,27,49,410,558,"6,59 %","8,78 %","4,9","3,3"
virgen de la candelaria puno,26,24,773,653,"3,36 %","3,68 %","6,2","5,2"
tours a machu picchu desde cusco,26,50,128,191,"20,31 %","26,18 %","2,3","2,0"
boleto religioso cusco,26,22,49,38,"53,06 %","57,89 %","1,3","1,3"
turismo vivencial en cusco,26,21,82,51,"31,71 %","41,18 %","1,5","1,1"
boleto turistico cuzco,26,35,58,61,"44,83 %","57,38 %","2,1","1,2"
raqchi,26,45,922,1054,"2,82 %","4,27 %","5,5","4,8"
palacio del inca tahuantinsuyo,26,0,87,0,"29,89 %",0 %,"1,0","0,00"
tamaño de la ciudadela y de las construcciones de machu picchu,26,18,94,55,"27,66 %","32,73 %","1,0","1,0"
tipos de impuestos en el peru,26,9,661,303,"3,93 %","2,97 %","5,1","5,2"
clima de la selva del peru,26,11,77,66,"33,77 %","16,67 %","1,0","1,0"
mal de altura cusco,26,51,96,124,"27,08 %","41,13 %","2,9","1,6"
donde comprar entradas a machu picchu,25,85,306,563,"8,17 %","15,1 %","4,5","2,2"
eventos en cusco 2018,25,15,77,79,"32,47 %","18,99 %","1,1","1,4"
virgen de la candelaria resumen,25,39,160,140,"15,62 %","27,86 %","3,8","3,5"
bilhete turistico cusco,25,35,54,60,"46,3 %","58,33 %","1,0","1,0"
tour cuzco,25,58,322,432,"7,76 %","13,43 %","3,0","1,8"
ciudad de cusco,25,42,1375,1340,"1,82 %","3,13 %","3,0","2,5"
clima de peru,25,81,2059,2443,"1,21 %","3,32 %","9,4","7,4"
tours machu picchu desde cusco,24,20,114,94,"21,05 %","21,28 %","2,1","2,2"
machu picchu tours from cusco,24,25,343,587,7 %,"4,26 %","9,7","9,1"
moray cusco,24,31,1137,1506,"2,11 %","2,06 %","3,7","2,6"
el inti raymi y la virgen de la candelaria son,24,23,175,155,"13,71 %","14,84 %","1,0","1,0"
tour a machupicchu desde cusco,23,40,110,176,"20,91 %","22,73 %","1,7","1,6"
machu picchu tour,23,39,556,812,"4,14 %","4,8 %","6,8",15
boleto cusco,23,23,63,67,"36,51 %","34,33 %","2,0","1,9"
maras moray,23,26,2330,2927,"0,99 %","0,89 %","7,4","6,4"
atractivos naturales de cusco,23,49,166,181,"13,86 %","27,07 %","2,7","1,2"
turismo vivencial,23,28,750,543,"3,07 %","5,16 %","5,7","4,3"
clima en la selva,23,21,396,236,"5,81 %","8,9 %","6,9","4,9"
fiesta de la virgen de la candelaria resumen,23,10,114,44,"20,18 %","22,73 %","3,6","3,2"
coricancha cusco,23,64,653,1256,"3,52 %","5,1 %","2,5","1,7"
tour a machu picchu,23,68,612,907,"3,76 %","7,5 %","5,1","4,0"
descripcion de la catedral de arequipa,23,8,74,21,"31,08 %","38,1 %","1,0","1,0"
impuestos en el peru 2018,23,22,123,77,"18,7 %","28,57 %","3,4","3,2"
ticket cusco,22,19,55,53,40 %,"35,85 %","1,5","1,6"
clima de la selva peruana para niños,22,16,187,169,"11,76 %","9,47 %","3,1","3,1"
inca museum cusco,22,15,341,347,"6,45 %","4,32 %","2,7","2,8"
catedral de cusco,22,24,350,343,"6,29 %",7 %,"3,9","3,5"
gastronomia de cusco,22,26,286,360,"7,69 %","7,22 %","5,4","4,6"
el clima de la selva peruana,22,29,131,145,"16,79 %",20 %,"1,0","1,0"
turismo en machu picchu,22,14,87,82,"25,29 %","17,07 %","1,5","1,9"
lugares turisticos de cusco,22,133,1976,3509,"1,11 %","3,79 %","8,6","5,4"
machupichu peru,21,21,1490,1594,"1,41 %","1,32 %","2,7","2,4"
fiestas de la sierra del peru,21,17,54,51,"38,89 %","33,33 %","1,0","1,1"
passeios peru,21,34,124,142,"16,94 %","23,94 %","2,4","2,0"
caracteristicas de la plaza de armas de lima,21,8,57,11,"36,84 %","72,73 %","1,6","1,0"
cusco news,21,41,223,293,"9,42 %","13,99 %","4,0","2,9"
tipon cusco,20,30,1275,1710,"1,57 %","1,75 %","9,2","8,1"
inti raymi resumen corto,20,25,45,54,"44,44 %","46,3 %","1,7","1,3"
la descripción de machu picchu,20,15,75,47,"26,67 %","31,91 %","1,0","1,0"
lima peru,20,82,3847,18599,"0,52 %","0,44 %",11,"8,9"
climas de la selva peruana,20,11,70,67,"28,57 %","16,42 %","1,0","1,0"
datos importantes de arequipa,20,13,52,35,"38,46 %","37,14 %","1,7","1,2"
tour cusco puno,20,9,91,58,"21,98 %","15,52 %","1,8","2,1"
coricancha,20,45,3613,5430,"0,55 %","0,83 %","5,7","4,5"
altitud cusco,20,16,630,825,"3,17 %","1,94 %","4,1","3,2"
ubicacion de las lineas de nazca,20,15,178,147,"11,24 %","10,2 %","4,2","4,1"
historia de la virgen de la candelaria,20,13,208,209,"9,62 %","6,22 %","6,6","6,8"
cusco perú,20,0,4032,0,"0,5 %",0 %,"5,6","0,00"
fiesta de san juan,20,33,2498,2681,"0,8 %","1,23 %",11,"9,0"
tipon,20,28,1203,2193,"1,66 %","1,28 %","9,3","8,8"
cosituc,20,29,473,592,"4,23 %","4,9 %","3,0","2,6"
cuzco tours,20,15,239,235,"8,37 %","6,38 %","4,1","4,1"
maras moray tour,19,13,190,174,10 %,"7,47 %","5,8","5,7"
altura en cusco,19,23,321,400,"5,92 %","5,75 %","2,4","2,0"
machu pichu,19,193,8636,19227,"0,22 %",1 %,"9,4","4,7"
festividades de la sierra del peru,19,10,44,25,"43,18 %",40 %,"1,0","1,0"
tour cusco peru,19,11,134,75,"14,18 %","14,67 %","2,3","1,8"
tour maras moray,19,59,199,242,"9,55 %","24,38 %","4,8","2,4"
parque de la exposicion,19,37,3386,4814,"0,56 %","0,77 %","3,6","2,7"
informacion de machu picchu,19,0,835,0,"2,28 %",0 %,"5,1","0,00"
machu picchu lugar turistico,19,9,117,62,"16,24 %","14,52 %","1,1","1,0"
inti raymi resumen,19,25,90,186,"21,11 %","13,44 %","4,6","4,2"
parque arqueologico de pisac,19,13,153,140,"12,42 %","9,29 %","3,3","2,2"
cusco lugares turisticos,19,66,1143,1651,"1,66 %",4 %,"8,5","6,1"
calendario cusco 2018,18,21,61,65,"29,51 %","32,31 %","1,3","1,1"
boleto parcial cusco,18,19,29,44,"62,07 %","43,18 %","1,1","1,0"
principales impuestos,18,8,52,32,"34,62 %",25 %,"1,0","1,1"
tour laguna humantay,18,26,277,344,"6,5 %","7,56 %","6,0","4,9"
arequipa ubicacion,18,0,2224,0,"0,81 %",0 %,"9,6","0,00"
santa catalina cusco,18,11,117,102,"15,38 %","10,78 %","2,7","2,5"
templos de la cultura nazca,18,9,79,55,"22,78 %","16,36 %","1,0","1,0"
boleto turístico del cusco,18,14,42,32,"42,86 %","43,75 %","1,3","1,3"
cuales son los impuestos en el peru,18,13,64,50,"28,12 %",26 %,"1,1","1,0"
festividades de la sierra,18,13,497,254,"3,62 %","5,12 %","3,6","3,6"
boleto turistico general,18,27,116,169,"15,52 %","15,98 %","2,2","2,5"
koricancha cusco,18,27,395,595,"4,56 %","4,54 %","2,2","1,7"
peru machu picchu,18,17,2537,2904,"0,71 %","0,59 %",10,"9,6"
tour machu picchu 1 dia,18,32,209,210,"8,61 %","15,24 %","2,8","1,5"
passeio machu picchu,18,34,160,172,"11,25 %","19,77 %","2,6","1,9"
piquillacta,18,26,974,1108,"1,85 %","2,35 %","3,3","3,0"
que ver en machu picchu,18,14,90,76,20 %,"18,42 %","2,8","2,4"
museo de sitio de qoricancha,18,31,61,72,"29,51 %","43,06 %","1,3","1,1"
boleto turistico peru,18,21,80,89,"22,5 %","23,6 %","3,1","3,6"
pachamama peru,17,29,391,554,"4,35 %","5,23 %","5,7","4,7"
fiestas religiosas de la sierra,17,18,2100,2017,"0,81 %","0,89 %","8,3","7,5"
boleto turistico de cusco,17,36,48,78,"35,42 %","46,15 %","2,0","1,7"
descripcion de la plaza de armas de lima,17,0,66,0,"25,76 %",0 %,"2,6","0,00"
valle sagrado altura,17,17,125,132,"13,6 %","12,88 %","1,0","1,0"
monasterio de santa catalina cusco,17,13,61,45,"27,87 %","28,89 %","1,7","1,2"
museo de arte precolombino,17,37,163,305,"10,43 %","12,13 %","2,4","2,5"
la ciudad de machu picchu,17,16,353,323,"4,82 %","4,95 %","1,7","1,4"
tours cusco 2018,16,43,193,225,"8,29 %","19,11 %","2,3","1,3"
tourist ticket cusco,16,18,94,122,"17,02 %","14,75 %","2,5","2,7"
como es el clima en la costa,16,10,628,473,"2,55 %","2,11 %","5,6","4,4"
el clima de la sierra,16,26,735,813,"2,18 %","3,2 %","5,2","4,1"
descripcion de la plaza de armas de arequipa,16,0,166,0,"9,64 %",0 %,"5,0","0,00"
museo de arte popular,16,25,128,164,"12,5 %","15,24 %","3,3","7,2"
pase turistico cusco,16,23,31,45,"51,61 %","51,11 %","1,2","1,1"
iglesia san francisco lima horario atencion,16,13,138,185,"11,59 %","7,03 %","4,4","3,8"
cusco ticket turistico,16,20,34,36,"47,06 %","55,56 %","1,7","1,6"
tours machu picchu cusco,16,94,94,315,"17,02 %","29,84 %","3,4","2,0"
huayna picchu,16,44,7044,11111,"0,23 %","0,4 %",11,"8,6"
boleto turistico valle sagrado,16,22,39,43,"41,03 %","51,16 %","1,4","1,2"
altura cuzco,16,28,680,955,"2,35 %","2,93 %","2,4","2,2"
plaza de armas de arequipa,16,40,4492,2864,"0,36 %","1,4 %","5,2","3,7"
descripcion machu picchu,16,11,43,30,"37,21 %","36,67 %","1,0","1,0"
inti raymi,16,17,1396,2039,"1,15 %","0,83 %","9,5",11
impuesto en peru,16,12,56,52,"28,57 %","23,08 %","1,5","1,5"
fiestas religiosas de la selva,16,36,1616,2033,"0,99 %","1,77 %","9,2","8,5"
turismo machu picchu,15,28,168,211,"8,93 %","13,27 %","3,0","3,4"
montaña de 7 colores tour,15,0,283,0,"5,3 %",0 %,"4,2","0,00"
boleto turistico cusco precio 2018,15,11,55,39,"27,27 %","28,21 %","2,2","1,0"
peru cultura,15,8,627,438,"2,39 %","1,83 %","9,7","8,3"
templo de coricancha,15,29,312,297,"4,81 %","9,76 %","3,3","2,4"
machu picchu peru,15,19,3505,3496,"0,43 %","0,54 %",13,10
piedra de saywite,15,13,531,549,"2,82 %","2,37 %","3,5","3,4"
chinchero cusco,15,45,631,1377,"2,38 %","3,27 %","9,1","8,7"
economia de cusco,15,0,129,0,"11,63 %",0 %,"3,9","0,00"
ciudad machu picchu,15,0,161,0,"9,32 %",0 %,"1,1","0,00"
descripcion de las lineas de nazca,15,28,94,75,"15,96 %","37,33 %","3,8","1,3"
clima selva,15,11,325,167,"4,62 %","6,59 %","7,8","6,6"
plaza de armas de lima descripcion,15,0,25,0,60 %,0 %,"1,6","0,00"
la fiesta de san juan,15,16,1096,1275,"1,37 %","1,25 %",10,"8,5"
mes de los vientos,15,21,97,131,"15,46 %","16,03 %","1,2","1,0"
machupicchu tour,15,32,299,468,"5,02 %","6,84 %","6,2","3,7"
la virgen de la candelaria,15,15,671,634,"2,24 %","2,37 %","5,8","5,6"
comprar boleto turistico cusco,15,14,44,45,"34,09 %","31,11 %","2,4","2,1"
fiestas religiosas de la sierra del peru,15,15,34,47,"44,12 %","31,91 %","1,2","1,1"
descripcion de la huacachina,15,0,50,0,30 %,0 %,"3,3","0,00"
convento de santo domingo cusco,15,21,133,130,"11,28 %","16,15 %","3,7","3,8"
selva peruana clima,15,14,48,60,"31,25 %","23,33 %","1,0","1,0"
festividades del cusco 2018,15,18,62,116,"24,19 %","15,52 %","2,1","1,2"
casa cabrera cusco,15,14,41,25,"36,59 %",56 %,"1,4","1,0"
entrada a sacsayhuaman precio,15,30,47,85,"31,91 %","35,29 %","1,9","1,3"
cusco tour,15,42,339,407,"4,42 %","10,32 %","3,6","2,8"
lugares turisticos en cusco,15,51,566,780,"2,65 %","6,54 %","8,4","5,8"
señor de los milagros cuando se celebra,15,17,120,61,"12,5 %","27,87 %","6,0","1,0"
iglesia de santo domingo cusco,15,8,130,89,"11,54 %","8,99 %","4,7","4,6"
festividades del peru,15,19,1040,920,"1,44 %","2,07 %","7,5","5,7"
el inti raymi historia,15,11,29,23,"51,72 %","47,83 %","1,3","1,0"
bancos comerciales en el peru,14,8,44,16,"31,82 %",50 %,"1,2","1,0"
descripción del parque de las leyendas,14,0,88,0,"15,91 %",0 %,"2,1","0,00"
plaza de armas de puno,14,20,194,235,"7,22 %","8,51 %","2,5","2,5"
que es la pachamama en peru,14,10,71,37,"19,72 %","27,03 %","1,0","1,0"
ciudadela machu picchu,14,18,120,121,"11,67 %","14,88 %","1,1","1,0"
cusco events,14,14,37,32,"37,84 %","43,75 %","1,3","1,2"
peru amazon tours from cusco,14,11,147,129,"9,52 %","8,53 %","5,5","5,1"
park of the exposition lima,14,14,200,227,7 %,"6,17 %","2,1","2,5"
boleto turistico cusco donde comprar,14,10,103,164,"13,59 %","6,1 %","3,5","3,6"
amazon tours from cusco,14,9,105,80,"13,33 %","11,25 %","5,8","4,6"
elementos de machu picchu,14,0,63,0,"22,22 %",0 %,"1,2","0,00"
laguna de huacachina,14,16,897,1191,"1,56 %","1,34 %","7,9","6,8"
a que altura esta cusco,14,17,292,349,"4,79 %","4,87 %","3,2","2,4"
dia de la pachamama peru,14,90,45,315,"31,11 %","28,57 %","1,0","1,0"
la pachamama en el peru,14,0,143,0,"9,79 %",0 %,"2,2","0,00"
turismo en cusco,14,16,552,689,"2,54 %","2,32 %","9,2","7,6"
machu picchu entrada,14,21,560,1065,"2,5 %","1,97 %",12,"7,4"
ruinas de machu picchu,14,0,1885,0,"0,74 %",0 %,"8,4","0,00"
maras moray historia,14,10,67,54,"20,9 %","18,52 %","2,3","2,3"
machu picchu lugares turisticos,14,13,100,155,14 %,"8,39 %","2,0","2,0"
por que machu picchu fue declarado patrimonio de la humanidad,14,0,125,0,"11,2 %",0 %,"3,2","0,00"
entrada sacsayhuaman,14,19,44,47,"31,82 %","40,43 %","1,5","1,1"
clima en la sierra,14,0,126,0,"11,11 %",0 %,"4,4","0,00"
tour desde cusco a machu picchu,13,0,37,0,"35,14 %",0 %,"2,3","0,00"
tour machu pichu,13,27,135,188,"9,63 %","14,36 %","4,8","3,1"
la selva peruana clima,13,20,49,53,"26,53 %","37,74 %","1,0","1,0"
tipo de cambio en cusco,13,14,42,32,"30,95 %","43,75 %","1,8","2,2"
tudo sobre lima peru,13,0,69,0,"18,84 %",0 %,"1,9","0,00"
como es el clima de la selva peruana,13,11,100,68,13 %,"16,18 %","1,0","1,0"
machu picchu texto descriptivo,13,7,35,16,"37,14 %","43,75 %","1,2","1,1"
machu picchu mapa,13,14,837,931,"1,55 %","1,5 %","1,5","1,4"
descripcion de machu pichu,13,9,34,21,"38,24 %","42,86 %","1,1","1,0"
lineas de nazca descripcion,13,0,48,0,"27,08 %",0 %,"3,2","0,00"
lagoa de huacachina,13,7,239,122,"5,44 %","5,74 %","3,4","3,6"
boleto integral cusco,13,17,24,33,"54,17 %","51,52 %","1,3","1,1"
texto descriptivo sobre machu picchu,13,0,31,0,"41,94 %",0 %,"1,1","0,00"
altitud de cusco,13,9,796,850,"1,63 %","1,06 %","6,0","5,3"
andahuaylillas,13,12,549,538,"2,37 %","2,23 %","7,6","7,4"
cahuachi,13,16,1217,1326,"1,07 %","1,21 %","7,9","6,7"
tipo de clima de la selva peruana y sus caracteristicas,13,0,110,0,"11,82 %",0 %,"4,9","0,00"
wayna picchu,13,35,2736,3327,"0,48 %","1,05 %","8,7","6,8"
peru moeda,13,12,629,572,"2,07 %","2,1 %","8,1","7,1"
informacion de arequipa,13,14,427,161,"3,04 %","8,7 %","6,9","5,8"
costo boleto turistico cusco,13,12,25,24,52 %,50 %,"1,0","1,0"
señor de huanca,13,8,1987,817,"0,65 %","0,98 %","6,0","5,6"
tour para cusco,13,8,71,96,"18,31 %","8,33 %","3,6","3,4"
como es el clima en la sierra,13,12,228,178,"5,7 %","6,74 %","4,7","3,5"
clima peru,13,15,1138,2404,"1,14 %","0,62 %","9,7","8,9"
cambio peru,13,0,105,0,"12,38 %",0 %,"5,0","0,00"
tours en cusco 2018,13,0,57,0,"22,81 %",0 %,"1,3","0,00"
climas de la selva,13,11,186,159,"6,99 %","6,92 %","6,0","4,4"
agosto mes de los vientos,13,23,123,227,"10,57 %","10,13 %","1,3","1,0"
